Instancias,Tiempos-tabu,Tiempos-lkh,Tiempos AMPL-gurobi,Resultados-tabu,Resultados-lkh,Resultados-ampl
P-n16-k8,0.16366540000308305,3.0287847999716178,2.93438370001968,451.9470921298186,451.9470921298186,451.335080208618
P-n19-k2,0.14934020000509918,1.6220883000059985,12.45512590004364,267.9334625077262,212.65690418589227,212.6569041858923
P-n20-k2,0.12829990003956482,1.7564500999869779,6.016097400046419,254.12718045669294,217.41558334616656,217.41558334616658
P-n21-k2,0.23633879999397323,1.3964536999701522,2.943059200013522,239.00798285439762,212.7115397029039,212.71153970290385
P-n22-k2,0.14296399999875575,1.300268999999389,7.88389370002551,254.9611268706774,217.869528478106,217.85215074022966
